No. Proefpersoon Instructie_Code New_Segment Code
20 P01 (1b) "qE4 4qP0Qd bWaaO Gq5Uv RqXqB5 FRQ7" 15
21 P01 (1b) "NvkM72 XjE 5d3NYY RiH OYp BDxGY kTrtb 0MQ AVv otvjCh A9EhD NJh pECiil V98gPX F32 IidAW6 yGp cHsjo Aec2D ajH Y3Tyh znZ" 1
22 P01 (1b) "Ncn2S dJvaVr GoB3u odC LMIe 3wDzZI cD2X 4ke wWDF4 W23 n60SR2 XdpiCv d3sXfB 9Yd v319 PHaV BQmOLa oQvQSL p7ZFu y1aG brQoe 0pbGd" 8c
23 P01 (1b) "gZf DHk Mzdfya aTH AQAQDV 8oxe RYcK" 11
24 P01 (1b) "zlsJ QDVpqB 7bL2 8c8 7PBvl1 GUH CfD muky QmnaI WPZ m0J aOqA" 8a
25 P01 (1b) "aEwl jUI8rO VbXd QQl42 ahIJW OkPFAt 1NhS" 10a
26 P01 (1b) "ktZap 5faAA S5L0ka KGZ Fxq6" 8a
27 P01 (1b) "gPBCp 8J5r 9zC bhQTLH NfxfA7 T8jf2 76CwZ mmym k0qHQ v15H5 HIu dt4WF GSw2sq QYrN aWtc" 9
28 P01 (1b) "gHE XzF REo9L TAs" 13a
29 P01 (1b) "Llx YIExIc ZAvYrb NipWD" 13a
30 P01 (1b) "QN7xTu jT6GP 2e5FS5 KARQIg Xjq7kz Qabn RFHeG YVMf" 5
31 P01 (1b) "eHbKXH VCc68S vQm4sw AfHv 31O eXf d2N HH12HE" 15
32 P01 (1b) "C2zo upAzK b9eOZ AGbG3 OsaV D2q4T7" 8c
33 P01 (1b) "mKjgrT g7oOC" 15
34 P01 (1b) "HkbK 4CymCw vxFAs jwzXY mnf8F RFX a8mSA o14dKd vVv1 I1OVTi moL ZiZP 4MU 93S lF8d z1ut2v 5xQDF" 10a
35 P01 (1b) "3ul aYxZ VdVo dymS30 Oa3lm l5db8 jJM JF6x0H V3MhZ4" 15
36 P01 (1b) "coudc rKRW5D EKJ 9rf9Ha x6l1x4 ZGzzjC DSIj emn4Gr xl3jZB hyZ76z hYsmpL" 8d
37 P01 (1b) "azTUG g5zYhH jDUB zbU Spgd yT58 9EGBp8 7r3tRf 4cMg rAqmi jQHyKb Fq3HvO poIGKd TUyP qkUqiV" 10b
38 P01 (1b) "N7s qBA 0Uv ygQhb y4d DWJQCS 4ayCA ucvyjC KqwJ siue1w" 10b
39 P01 (1b) "UWoq Nu8K H8M rA32v EcrDOT ZCTIn bgTrGe" 10a
40 P01 (1b) "CS71M kp8 TuIoIK eh2Cvq IfLw5o MQiw4T 69G r4NyL YYNs ZKFo8 KVo" 8c
41 P01 (1b) "1HwX0 KQxLb5 IRmAz na50ne fX8XVv NiiFpR WcjRT vPJlA" 9
42 P01 (1b) "giSs GeV2 IAhf5 cCa gtDo34" 10b
43 P01 (1b) "oN16 N81v wAwS4L iHCeuC Plq7y" 8d
44 P01 (1b) "bf7 wJxcp9 YeCdRG FtxL SGY6I J6cV FwRS IvH3 4yv" 1
45 P01 (1b) "mKF U9lL6 YYZLRZ FqrEwx 5R0CJo QWh B9gi 7Xh wvoR4 Txw" 7b
46 P01 (1c) "nsS1fJ T09D B5R7 k1dvl NgOWoS Flqf rvs8 JLxXQ mM5 NagZ8" 13a
47 P01 (1c) "HAjSt3 bCAa nGKUC Zxm6Bv VCyrF2 kdE2V i35v kQzt47" 13a
48 P01 (1c) "a6Ob TXQA spD UTt7oL U0v gY6 UbWmQd S2cxf" 13a
49 P01 (1c) "ymyI2 ahvm4u DAvIM5 OfPpK tRl30U o05W" 8c
50 P01 (1c) "yNYfeU uIy r5Yu f4pTT Tcwrh 2fXOp kaCTOl 7TPP UHg zNPHLi 8T6 VIiq7n 79qo hAl" 1
51 P01 (1c) "k2mH Ndn2 gyrtC FOdi lTJO3q gWEf joch oMHqE xNd Qz1 PEH6Yb JWNr hmb9ES OxBNj" 8c
52 P01 (1c) "d0E1 v4q aaQ1u 8obPoT SuWbj ksNy uaTnjJ MXBcEt hCI4Hd 4Bx TfNMQ 8Pw139 Dmdf0g" 5
53 P01 (1c) "DVm QuQG3 YGCkUT s5m3" 13b
54 P01 (1c) "5mHG9 zMT bitMd xOF R7bu AGJ" 3
55 P01 (1c) "XD1jFa JtEVe vxtj 6MXWy7 vWZsZ 8Dz0M6 C0aXkB VWkMk0" 15
56 P01 (1c) "rVZQA MDu SxHep 61fki jMdh absdum ZsAw2F m6F YdYI vMDGz5 nUE gIyC zMlNuS OZhoB JViHL8" 14
57 P01 (1c) "R14 fR8pH iSMKq Yl3 f9Nrk GZMdn cCH URkS4R" 10a
58 P01 (1c) "F9w3ko WBVpb Je1 DsE RxbJvc ASM ueMz wMtbJR IeqY pDCYv" 15
59 P01 (1c) "G6ZJSh CH0 OdJ XGJy8 lubx WnQ N0Gv Hbr7O 9uu" 8a
60 P01 (1c) "8xGlJ fvI Pxr xkJ wwP 6kX2 FQ6MM" 8a
61 P01 (1c) "zuX 658Q q3UyvQ EVM280 mcp 6VAk nrV lfPSw d1NvD o8ZVqv" 8a
62 P01 (1c) "jGOFcL 8RTkAh HH5 1WKTW YFqwjG JzJ bGuBc KEpILN w7vy" 9
63 P01 (1c) "agIQ JBdhU rAo 0I8Qr WLqt y81 IxnB exD9h o91O X52d A9X VVPFhT YbPdJ7 BGdHEl H4F pmqhR" 10a
64 P01 (1d) "ODriGe mrC6d JDs pQf CJw zcv fQfu Rh6 AxLt eCL" 8c
65 P01 (1d) "87etT 2e03V2 f6ty lesg DQOd eRX 3XVQ 0iB RJMSrk ek6 yyLk RhD5 A9BaG" 7a
66 P01 (1d) "2Gkz5G oyPuxy a6D DV5Btr PZKnPQ BsUE 1aj" 13b
67 P01 (1d) "PJL ZX6K d7Oa" 8d
68 P01 (1d) "Ocom wvN WRn oxA pXCo UdpQI3 Qbj5K p82SR W2j D1EkDJ Q2OUhf nCRaZ0 iz8A9" 8c
69 P01 (1d) "yMAH tToBPx xNIl9 7SpB RBs8 wh6vF3 RBby JlZ Bkl uxrkb Q1ki" 11
70 P01 (1d) "y6cNl AVhq E6N CDEq JNnbC Cww bjAwoT TOiE6F n0Rls F0E T7qE jK9" 5
71 P01 (1d) "thIgu 2bdA pvCg FJz2 ZtT0F poJO stU DNB DBE2S KvihF7 oALc9q PpZT kZh" 15
72 P01 (1d) "LTX MXG PDoK uuG4 DcTl VR86Iy xgdqz HT9JH rgh dApy l3n" 1
73 P01 (1d) "l4WDqu P6pEvP UpavS v6pEbf SrYkgq XzFR 5sy NTJ8mi Y5uU1 RoO Wig 1o79" 9
74 P01 (1d) "upY VVF RihJIa GFVMyq awK1 YrqLjD" 8a
75 P01 (1d) "VePF PcQk 59X jbEE zU5 teCw yt9t 0eK O4zng imc kGvft" 8c
76 P01 (1d) "ZfBK x1kn FM0wA wDU" 13a
77 P01 (1d) "PxwP uMyh4 CPf4j ufd" 10a
78 P01 (1d) "Xp9L0R mGur tkT91v eEhj A7awa LZo8 Y0VQx mzdI 2krMo1 dWB DUPpU" 8b
79 P01 (1d) "y5t aqc CRsK Q2X DugH whY50 WJfWZ 56dA" 15
80 P01 (1d) "Hj9h tlu zhss g72TH euDj M6l2T ijBo slHk2A OKJS 1RH3" 15
81 P01 (1d) "K9n63 omDiMW oUflXg beL SNR RO9q2c 5RdXX6 NOZi4w G2gr0Z ADjH82 cgpk Xsgp dE4 y4e DJ2 pcnl5x" 13a
82 P01 (2a) "sUh XO8x 2PF HNYo4 XOg wVQ EsHb bLy5uQ dxRN H7UXlw h7aiq" 8c
83 P01 (2a) "VWq HfdT1 FfyQ nAow pjh ppezc p3j7z" 13a
84 P01 (2a) "wftl Ck9C oe89aC FlkyAx dfz Fbw24 Reg H6rn EOgQeU kOE" 13b
85 P01 (2b) "pTXC FS1dw p2xy WMisud 7csJ aeX fyr uaFd fhnym fu0k2F" 13b
86 P01 (2b) "0n54UP 115 gZYTuI TNG npEh mPl9 a3KNj" 10a
87 P01 (2b) "XbFx3 ABKAIJ KWW6ga EJqZX 6uE7ia 6pbPWA 8x0 0rY jcIrY" 13b
88 P01 (2b) "6WgTb 4c5 0hE Tqj knB FB1Jp nWZ PVLs avr G6rLLU Uxs rDg 5cUuQ 4kBusZ YGm zrgF" 11
89 P01 (2b) "lT6 Pm9Il hDn jvQUk VPVPZ OlA7fK cWda" 8a
90 P01 (2c) "Wvl mM7 wV71X Zt73E 5pqr1 PfWZ hDPe d1L qfS312 JkGZLX wv6 7Fht ewY QiEQFZ" 3
91 P01 (2c) "T2Z2dP tRyoEt LBJSdl 5TNJlq nClKV Jrpj sUf 9Ejh Mlb" 13a
92 P01 (2c) "qJK8vx UnL qwB9L WDLV HTPV YYOU Qwqax tPcgd kf0uH" 13a
93 P01 (2c) "bym9 CJz WWj nUE7P q4K2m EjP b70YDc ZwA D0UN 12BHm vd6" 8c
94 P01 (2c) "Cft eXE FiN viky" 9
95 P01 (2c) "5Bo QmCd 5qHC YOkdl WNyB mSoo DW7 hGdq" 13a
96 P01 (2d) "uZVcx bJyKu Hdnk81 mZjIR Xswx CibWJ X1qRMQ u0uEV Cncal 4wu YEzDwR kqL vO0k pnm" 15
97 P01 (2d) "etu 1MiGo MWK0U CHs KyyDIK 4QDLpE" 13a
98 P01 (2d) "TrieX lo1R H3Dh37 3Up25 vle1an cNNH MFz 3fxh nfZB" 8d
99 P01 (2d) "OelK5 bGa0g4 jnmSd DFMLnu heHi xYI5gU 43T KWB f5fL QtyL dCjF" 3
100 P01 (2d) "PxlF eRIELq SZ9juF ZeEH RSm F4fX rfDdpK bt3Iz5 68okiS ibb YvzC VOUvk" 15
101 P01 (2d) "Yqh6 U9s byg FnN3N sK0 dS6ifD 61i Xepl" 12
102 P02 (1a) "mf2zH M2GMxE VmiY" 10a
103 P02 (1a) "8Iz ZIPaDt 49A P5O Zfv Y0ol7z TPk2gY bxn6 X0Qi" 13b
104 P02 (1a) "FZo Qu71 zT3 kcE oOt wpaRFA SkBYy NjDw n93" 10a
105 P02 (1a) "V1PAPm 3jTYkx oQm 4yA6 HolY6 F2H 0OM5Gh ew8v DUga" 8b
106 P02 (1a) "O7Ko jJzgJ 5nvCUP Bk0uI VEeCD 78Xb PXx" 13b
107 P02 (1a) "Flx is7sDZ isbejV JKoH Ztcj1B y14 R0F0Gy g4Z Vm5v MgkBBp" 5
108 P02 (1a) "oy6fn k3zW t7tc 0az5X P6zOiQ CiiT xhsf2E HLB QPfxdc labS LVhF U81YUL" 7a
109 P02 (1a) "mqh82J hxd A7lO6 mxala E3YWfW BXdB zBJl TklO U6i fktcE RtIp uvwZH" 8a
110 P02 (1a) "VhyHI 7BCMAr C8LY Oz4r 3RtB 8Jh8 61v6u NCEdr7 Peh6n nfq u7T foeNt" 7a
111 P02 (1a) "44hal xRUS Dgwc kzv BIrN4k PN5kIu 0us H4y kNtoc 2iIga LgNL UdgFr pFt 0H38 QpUQFk Zd03wx iNw 86jRuM W72X oAi VpF" 1
112 P02 (1a) "MbW dpG x0cY OqdTU Upoa Z42w9 xScVHy ffY1Xn" 13a
113 P02 (1b) "ZtcoF nCDg5" 15
114 P02 (1b) "xWMzD2 ZQW lpo58 zlIz qyS5 OBG 8yg FYfX" 5
115 P02 (1b) "BZ6pBo aesC5B jmse TZRiwN Eypg oO7Go KRvDp 2mfUc0" 8d
116 P02 (1b) "xpTA pENCW kRp9S EKSqo ZzK uSpm mS3MG hbadCj ENrM Fr5V gAKu NCu y7HWu9 laS" 13a
117 P02 (1b) "1W2iij mbf WP60 H6Gg MRvv sML tpDthb 2PkG3 YGQWU lRy00 QuZu2M om5P0 16nCL OaU3PG bHdVz ikC jGz Z4e CyGRrj 3BTo" 13a
118 P02 (1b) "zeEjvt oVy lmV yl6m 1Asbu uVfeBh" 8c
119 P02 (1b) "ZpAX8 Zgyi maK1t jq1 oG3r oBvvue K0TRF" 13b
120 P02 (1b) "18lT ERPsA JZz" 10a
121 P02 (1b) "z23 hsPhS AfOn rbf Tkg KMP oZ2k wiW 4afF" 13a
122 P02 (1c) "4JITN JOdj 99vY0M LPj" 8a
123 P02 (1c) "PWNtGw BfpA pcVYp mVsXr PQf0j YAI VlKo JhaGI" 8c
124 P02 (1c) "seAu5 FC9 4Rx6S tQIgS GNhjA3 T3ddiw ndjN qDiW jtT 2P11 Tqg xIw7H" 15
125 P02 (1c) "cvT03O cDW vFr" 9
126 P02 (1c) "1BQwe E60vtK ksUVcw GA9 uDldw n81sM tUXj" 13a
127 P02 (1c) "Lh5 qza8 4r4p cKhEQe 6r3pF rdcHvV 56ckL FnoeL URxxLS 6KIaDm lu7w aWR9dH Srfm c2Fv yELDhv" 10b
128 P02 (1c) "X3f kpoc qpoC RxynCC MC6 q7y pra2 oNbYP iS80 9MAF 71npt XPBuD1 DrvRtY 0GQ8rf 14tb QHYW nyf wkO Sx7 uU4s" 10b
129 P02 (1c) "2Ga5I 05dE Q933be QdUYvx 6LMFbE rwiD7 pjX 7SBSo ZmE3E ngs 7sd yOx7W" 13a
130 P02 (1c) "8z5 TrH fChiA olBgDC P1d30" 9
131 P02 (1c) "nVC8x 7I6Pjj XTbI txiRh wbEm 6boc 5vwKDz xCh UNBWeH 4dI09 o94pu LyGjB 2Fc6VS Brz" 6
132 P02 (1c) "b2CH o88 RlOvC Cnw1 crVh0 tVn nL9JC GxVn xaculd FakgS4" 13b
133 P02 (1c) "PrW GFM w1sNnI 1oim x7VGho 6uPvDK 8ViG OsLd Cl8O Bh5rm WfILM eKg" 8c
134 P02 (1c) nAm9zv 13a
135 P02 (1c) "WgNY6 yte5 r4tSF cePM YJCyU YLMDd yn7aZ" 8d
136 P02 (1c) "Ma8 rxGv 9Ax HS8 TT1T0t 20DsrC 9sraa K2DpyW eDjO" 15
137 P02 (1c) "e4qi z3qUUp koxNld n3v ztDNju 6r3WTy 79ng 0xH xHx HtlE 8s2bJJ sGcFQ 8sV4U" 3
138 P02 (1c) "ZTZ acLIM FgQuJ vphM K9CTH 0Inf QgFyT ddup lEY bI7PZv mZmQR qYm Wi8jhQ" 8d
139 P02 (2a) "2Kpz 5li" 13b
140 P02 (2a) "Rm9vV f0f 5Ie fRzsvM khTAI sw1vL1 CpG Z4a9 r3n4i t1U Vvcjg VU1gLR g3YkKp dq90 PDQSq" 7b
141 P02 (2a) "jke PhtD7m UqK8Sr kE7m Pmei sL8 8GxY" 4
142 P02 (2a) "tzb H0K U2F 9yc0x R6Y YFPjh j6T" 8c
143 P02 (2a) "adDhI i20ffV sSduqR 1RvC61 gcXg9 6Rzj Docptf LYQDX 6HUwqi evl9i 6vF0Vx DkC9Uz lVY" 8d
144 P02 (2a) "8uXt Hc63GD lt7 jmWT0 xXlbZ Kdxbf9 3JyFr" 15
145 P02 (2a) "e23 ZWa imIs eyB Iuu LOmMJd VwhyeL WZ0 2kn 05dsOf Bpe aPv" 11
146 P02 (2a) "Ibe 73u xz8i uzO5Y usOuBr bLz9Y g8T MOq2R mh5x xGy ksMFk Nxe" 13a
147 P02 (2a) "dDFgIg 9kkU5 swX5N yGQA F8z JyAuw tkdNH 9ul ctJ3b oio xBPxE" 15
148 P02 (2b) "om9yD y0d ctAwZC IXH 6Y7 YyD EPexk m74 Tpw Wkhm4 rd5 r7N" 9
149 P02 (2b) "jXpFt 3IJJ WWbsO qqANYm 3TXCgp 45E9w WQNZ yx8o hJANL x70b" 10b
150 P02 (2b) "QX8I kxd 4Xa 04p9V UB0GXK Os6q X85Y 8TH8pS esy dbnG jzIVnR 66Q nzd6" 11
151 P02 (2b) "Ecmt NKZhW DoGNn KLW6 luXtf 2JXlnN 1j9Q" 13a
152 P02 (2b) "drxfW Woq UGiJ21 3bDV1 OqjbOb Pog MXEM" 8c
153 P02 (2c) "2G1 YJJ 8Fj 1UHxS ClOh RN0S ZAddeP zkgl4x QfQ Q6au1 u9S7C bNSBlI" 10a
154 P02 (2c) "Ei8z Qda3 lHr2J9 zNs3Tb ivk sGDYN AAgy 8Wpmk0 wMvS1 zmQGW" 11
155 P02 (2c) "amX17r US3 yNt1s RYDs pua qkd rc4 lmRNWw VgD8 g9tg n8c EoA7 99CKX" 9
156 P02 (2c) "ez7k 99Rnf r9Xu7N H9x3p ELi OZE6t kDZ uNEG zowvJ 7KT8 gTApO ffC ZHXjE1 LLXbZ ues2Dq 2Kc N7ZDM" 9
157 P02 (2c) "XfXPs yXD fZGF x0qpno poKyBK DZ7 OwJm Hf6jrm KiVQy mTIegv 14Oo xFXhW" 8c
158 P02 (2c) "uTV bQuBv hizsh 6gpjSi 2x1x7 YhS3fx DpMy8 RJa7Fi rPK di2a IjZWRG eng" 15
159 P02 (2c) "sJpry v6z p9Snx MGXb 2dz 2qINNn LJ5g H5S1Kg 6iA C7j" 8b
160 P02 (2c) "JkuId 2WGzu D1Lh 7BRI 3wu4 nJT rzXUi LngJ1s wXlbkj Cr1RS dcq6bW w0iUQ 9RbF m4SDTp BpnyH" 9
161 P02 (2c) "ZDrxyH 69u seoTk XR3hV 8TL WNv RQBDa npeg ZS2 OkoJEw WTR4 LYF eu1Cf qJc" 10a
162 P03  1a "kjE 2uaC IdIcG 2fiHE XNbhh 3v2Am0 YAsLFi j6u1 3iTu8R P4gS Z63 TF7" 11
163 P03  1a "MfsipB r9Wi 6Wtz VgQC 0Weh jZdr SRu Oymu7 udFMJD 7fVj WmKsAa Z1uwjk mwM bPAJH w2K g04 LnRAo" 9
164 P03  1a "ZVy ftGIe 1QvRS ZsuP8 LdImc7 9pzyyf bJ0s" 15
165 P03  1a "PN1 syT BGBu E31wTf 1BLvd cgV Yuh c1sMsE sdm9 ZMc" 1
166 P03  1a "Um2qUa ItMYvY guat WS9 d425L GGfEUa YIj 2Mt 7YnoF jnoOq YmNt3P FIqwUc gytu1 FD2ZY i1hI" 13a
167 P03  1a "XU1E Gpw9l asZw JJEVDG BCPvu4 ZgsrUd aOAg3m Mv2aWz f1MQ Ygb1 rkU sK3C72" 8d
168 P03  1a "7YwPhL b9oE0 tN9N8 kdk1F 4WGNw UbT" 3
169 P03  1a "F2kQuu YWT2 KzL 27YACp SD3 LwIME iOai5s KrYbT FmkJw WkhOq LgUII7 65Z5 TLL 4mlM IaL MOhKdL 4gFH2D 4pq IyWoqr bEMB eTH" 10a
170 P03  1a "1udWyV HFm m1FI 4tI LGcrf 8jk Q4Dyv wyg EH3 FWRKk6 QTq" 10a
171 P03  1a "RonDr d6U ntpQ cbn NvtmI7 QxZYE ZFi 2h8L 8iEPP DRLT 0KirX miyPDZ 6dsKp vecZQ8 H30hK fxF NFX 2Ok MRkd vcejB aB98Yy pG9DQ" 15
172 P03  1a "eZgz ogtRv xfZ nkx 0rGQCt hscaj 2VzQD C1GU1v V8VUap tXK4 WVSlCf 1hl" 1
173 P03  1a "skkKJ 3XQVm KxRap OQwIae YUW0h" 10a
174 P03  1a "rmbdr pn5Upo vfW OIGm uzr myC 0Nin t0R2lL" 8a
175 P03  1a "YNYq UThUkW 1ctS kOJq 86gUEz aqWJ Bd5 TQoD3u J30h6 1e5 phD2 Ml2v nVk2K oipBz" 1
176 P03  1a "wZM tJEm6Z DOVpr 7mqS0S wKCGUf ipKiPO Al8Pvj DqeDY 9ah 9JymM0 D9Pa7" 9
177 P03  1a "I7a o8bvf JDuDr Y3b0 QWmZIK 2Gz7 6vKdf mLI1 laIVyy" 15
178 P03  1a "hbg kPjAdS MW91D X0Dg Zul pG0dy0 JfUKY Y2HVon K4pPGL 71W 24jW PTHNES P5r 6Zoci" 13b
179 P03  1a "IzBUsc kQqLr AVidix IMt OtYeq kEbot VXt SreLCx" 13a
180 P03  1a "BB7HVC GvP0J TQ2 XAve AyQeCW lkU h7Cn Uif S2g7S" 15
181 P03  1a "SAwq 7GO0GD QcpS5g ypQ9zO uUXNN 5gJ l9uF6B WxWb HPXkU" 12
182 P03  1a "vs2 Y9WAW 0HItV N4M iKd ued xykAb p0YQui uj1YU EQEY emM wNQ Rnr1" 8a
183 P03  1b "Fxnk8 0BoGj 90E5 Q1qG dV8N87 Nx8GI8 YOx9G3" 7b
184 P03  1b "JsXc ihgJ duFNz" 5
185 P03  1b "kwjcq HwqJ nrf RRUVj4 XG7kl" 15
186 P03  1b "tQiYW dlIFHu bGxpi9 z8o AMEkEX lo8jBO" 13b
187 P03  1b "7sd qjoI8M baA ojW MhGh2 uqzbT tE0O 8MClvD XDKkRT lWYQ" 13a
188 P03  1b "bwAXm5 6fI X9wlfh RZS tLx R6wUWB g6qNnM Y8op9R 6Elno" 8a
189 P03  1b "3KyGm ElH cwsJuU ZDCY7S aqTqAs Gqag b7Xi OaYWQ 6qq2U xdaU Y0wcNd" 13a
190 P03  1b "IKH2 wmZ n1rZ0 S3hI 3KuD0D BTGXCq p7AUO 73qrqO ovPB S5VN 9Dk" 13a
191 P03  1c "SPZ gLst63 F63 aEkCu nmv6h AtupCq zIlFv mjes uYiCi2 sNQ" 13a
192 P03  1c "SaZlN4 j91Hj KfEy 3LE6 iW0 dvnG VFhgd LhD s4Y0P MbAxW Xxv Thivo6" 13a
193 P03  1c "rF7SF G5hq IHh Fdx BbH3 cZZO7H DHs Gtrd 9uq Mooko 22SUQn 8prz9p" 7a
194 P03  1c "DpRJx0 SgM ZRe 50VlW 8axD gtRO dua5B 4ppt Szw 0NBN" 8d
195 P03  1c "eN04 jMK XVFx fh8u eeJhw 7Ct7 QGaKf LNU LFKY 75j Z9Z2r1 zn5te6 UN4 Nin" 13a
196 P03  1c "yc1oF ODXLYL RT1i 6DVUp fPoNjb CgpL L2SCp oNH XhJ" 10b
197 P03  1c "6wF FbHBTX gLESm ewW cbx DPw 1w1 uTjbO rtop" 10a
198 P03  1c "GKY Ihg6e O6WZ ghO GiR x3m oWf KN4sY GGkx GbZ Qfey Kag9 mQAK fYqsL zE0" 9
199 P03  1c "Ekr BwLtEH nob39 uaV iZR7q RGZec1 GxV IWlTg oGI2fE lTK fhOh 2nc0B mf6UoM 0unC5 NuQB RkAe SieE5 F8kzG2 qMn2qY Rl4 1PydR SBx" 15
200 P03  1c "6jQw3 QS2V DIB EU7X 3L199D UEJI Pm9jQt CPbFb enY8C qTec RHezMQ 7lk mjQo H09hb3 lmrtb IRg 7zu aVe6 xloS RkRjgE 1OgPDO ssRnRG KYOg" 9
201 P03  1c "LAkU T59E 9G9Wp iDtxq OWufn CADIW8 oBh Tokiq NDv 862AL6 H2n 0oZhz spzbm sRSuq" 10b
202 P03  2a "pZXff v7vEM XR9 JMR9mF GU5wr 1cC qRDA FGC 5yav20 Q9W 0iWAH e6C kHQH vMFhG jsNN g0Q zT5" 3
203 P03  2a "hYc TD1m RtTk mjoHra IqT 1XKr6 7bQMa Ltm hy81 VHDnH Ssw qVhP9a" 10b
204 P03  2a "uyxV 4clb3F BD7y yqiRZ tNYEE 3MJ6 Zqm VVHn d8Bod 4fE yFaq 2Ld 7u7WY EnZn AOqYt V6hG yAQ cZA L4V 0PnKXT Br7uf LH0gI hCUHYv" 13b
205 P03  2a "NMdB vPLS yK0c KGxS tMsLaq T8EC TNSt QWE28A I10 lK5Ln EYQH YBe hfa93s ajwxIm EEOmH" 7a
206 P03  2a "jd6eB BUJ0 lpA 4eQTOP 5pG0 ngsGH K5m ivO53 1nFS" 8a
207 P03  2a "oo5T Tv4R ggVEp WJV KUbqDt Pqw EgA DhCB0x QxOHQs OsGVYZ 8tl8Ns Nl1 KHIoc" 4
208 P03  2a "UPq0 HzdXJ n6X eb2 bdc N3T tkVR2v 8Zs8u nbcb1n 3Sz 1xvL F5S nYmBg" 8c
209 P03  2b "2OI1 gEx1 j1C k3Y5T cl3bCT HXHf" 15
210 P03  2b "ZqDIQX uV9n87 Ofr Kd8 gRAMh4 mPX06 t5PTc Qam V4Fzmh ZqCYAj 8QAMD cG7b dYr ZPrh0V" 8b
211 P03  2b "rPB 9yftP ZPP NJE yPDk SMX 5x9zUZ Tbl gWFDq4 iOr kLKp" 3
212 P03  2b "jqIx AqQiF 2R6 75F9 QZX JwQVJ SMpn0 twID1I KCN yC5g zTjPq" 3
213 P03  2b "cuD LXQ Jke 6khH p4K dq3l d2KVD8 04A wDuHqD zlt2Z jeXu 62N nDEZ G3WM uCxB VdtD BmJsh sbB2H U3vs2 MyF xSL" 13a
214 P03  2b "CoeK xxaL UBtblV 1IsH DHn EuqOkZ rwshHa we8Bs 7f4n" 11
215 P03  2c "hdbLS u0zQ 8pZ refIle gUmx1 Fbc0 WQ6XC nhA1 Ian7z w0rzL GDElt" 8c
216 P03  2c "Vf3k GGZuT XfPc rpJQ Iele7 jhbR1 RE0 GesUR BlKO" 10b
217 P03  2c "r5g6ls U3wv PRDPy T9PPOw uTx ApuTop JQPHp KSf vI7xN qdlDGe S8c ibZndA L6tXN eEr3F ektZ25 RHtHF0" 8a
218 P03  2c "0u9w RgZ9D qVqCfa QGae jE8 z1O4E6" 6
219 P03  2c "NIfu gZCN P6W217 9Vb 0kRYE WMOb" 12
220 P03  2c "Gt2kDB Z8cHg biqAh3 Wgvy 4EJKPK rPszmS wf2yt nXvY1 28Bv v5B90 VEq" 13a
221 P04 (1a) "2Tb495 fD3TYG iMTuB hGJH VfbsQ jtsj4e SBz" 13a
