Proefpersoon Instructie_Code Segmenten_Sophia Perspective_Sophia Perspective_Jael Segmenten_Jael
Transcript_P06 1a "d9x4Ic IUXG 1Vwvl7 4C6 VYrRk N5sp DcDS sCHsSO N6LTZ" y y "d9x4Ic IUXG 1Vwvl7 4C6 VYrRk N5sp DcDS sCHsSO N6LTZ"
Transcript_P06 1a "oEn rYUg6h GwZg9 4LQZH 2JoQfH 3IQn0a" y y "oEn rYUg6h GwZg9 4LQZH 2JoQfH 3IQn0a"
Transcript_P06 1a "V8XtBh CtvLy ckyO 8x3 vtE 9YEIOt Ghe4 5wk23V ckB afQ w2VW 2SYjP" y y "V8XtBh CtvLy ckyO 8x3 vtE 9YEIOt Ghe4 5wk23V ckB afQ w2VW 2SYjP"
Transcript_P06 1a "jvlqyu a3DVS YeL9p ZoDTDd Jj5 mTG Lc6f6T rBSL" y y "jvlqyu a3DVS YeL9p ZoDTDd Jj5 mTG Lc6f6T rBSL"
Transcript_P06 1a "z6E edN ZDsxPi aph u6kSK xHAKWI ROlwur LFqr" y y "z6E edN ZDsxPi aph u6kSK xHAKWI ROlwur LFqr"
Transcript_P06 1a "tIT9 AvAqu 9zpNAb Wdr7 RltKt sFS ubn 8TD20z RH2YCG WhR c0m3 JCb CfIL8 R9aO OLZ WgGr pHAfAq Grv0" y y "tIT9 AvAqu 9zpNAb Wdr7 RltKt sFS ubn 8TD20z RH2YCG WhR c0m3 JCb CfIL8 R9aO OLZ WgGr pHAfAq Grv0"
Transcript_P06 1a "aPtnX CjJn58 78wjF PvGXfM Xwa hxnoYm WJD kXzv EmZam MxGF AreXT" y y "aPtnX CjJn58 78wjF PvGXfM Xwa hxnoYm WJD kXzv EmZam MxGF AreXT"
Transcript_P06 1a "hyloj igF0 huf7 xHdMT LKAMUc H5h PK2uF d5QCJ hb47" y y "hyloj igF0 huf7 xHdMT LKAMUc H5h PK2uF d5QCJ hb47"
Transcript_P06 1a "CSZo yHSf jcN yKDp5 ced1 30Y2S3 CNKap z6d Yrd1j6 XfS2 XO3Yo TEOCzj" y y "CSZo yHSf jcN yKDp5 ced1 30Y2S3 CNKap z6d Yrd1j6 XfS2 XO3Yo TEOCzj"
Transcript_P06 1a "OcM7l mYajr rEX uSJ9P EIm yYc vgR U9k1QO Xkf Piw 9qSG" y y "OcM7l mYajr rEX uSJ9P EIm yYc vgR U9k1QO Xkf Piw 9qSG"
Transcript_P06 1a "qIbwsE xCZ J2Q5u sz4VS qPcyN C34Uo LBFdpy B2or5 4gKY dua81c ZDma4 0WzWV flb" y y "qIbwsE xCZ J2Q5u sz4VS qPcyN C34Uo LBFdpy B2or5 4gKY dua81c ZDma4 0WzWV flb"
Transcript_P06 1a "ZzE72W 1AT S2R6l 9v8s HHU tWZ tGys8 Py0zYO qB5TBm fNxIsQ sYUto" y y "ZzE72W 1AT S2R6l 9v8s HHU tWZ tGys8 Py0zYO qB5TBm fNxIsQ sYUto"
Transcript_P06 1a "iBP8 QtFSx hWvhf xKNE eUK g073 rUgMb 1Xw 3Nv2 WxS92 kq7Dy JZ2 XCsGn1 6Alj MRx TCR3 ubS bMjlIJ 0ng6D bOmwU l0L DntF78 rdqUI 4BTp" y y "iBP8 QtFSx hWvhf xKNE eUK g073 rUgMb 1Xw 3Nv2 WxS92 kq7Dy JZ2 XCsGn1 6Alj MRx TCR3 ubS bMjlIJ 0ng6D bOmwU l0L DntF78 rdqUI 4BTp"
Transcript_P06 1b "vCI 6zPMt f5CcC ksp4J9 CXSWWx XaM1 Q9n0yQ XuR" y y "vCI 6zPMt f5CcC ksp4J9 CXSWWx XaM1 Q9n0yQ XuR"
Transcript_P06 1b "eQ4O5 vpBvUo 7egPn K8lz eYqrr0 IXrJa XteEH zPQ4L LCTU6 UgO 1cJS mnp gRLINc oGvX wSIF" y y "eQ4O5 vpBvUo 7egPn K8lz eYqrr0 IXrJa XteEH zPQ4L LCTU6 UgO 1cJS mnp gRLINc oGvX wSIF"
Transcript_P06 1b "qBD 7fj2wC U7JW EhB 7bFFQV h4YHL 7ul L5onJi 4CQ GLm0 KHOpx tJG wXSKO rOz OXDZQx eL8Xs TcH 0sg6 3mY iX5t 2bx" n n "P5QO4 sg4 ymki6 18W vQAmm 5Lw6 pDdl1 Nwt4W4 WOpK iLhR U5d7I Peu OPVIo dZGL"
Transcript_P06 1b "cOg5g Bx6 rJm C4y x9zG kkLFm N3iQn6 FTY XA7E yd3 rUX iCJ fEFEO XACxU PsA 3lC c5G0IU 1nW pUdL zK6" y y "cOg5g Bx6 rJm C4y x9zG kkLFm N3iQn6 FTY XA7E yd3 rUX iCJ fEFEO XACxU PsA 3lC c5G0IU 1nW pUdL zK6"
Transcript_P06 1b "FY4m10 E5xH 3o32N9 GVP dHgdv W1i" y y "FY4m10 E5xH 3o32N9 GVP dHgdv W1i"
Transcript_P06 1b "4oxCaE FspZ EejSb xnt LGvB7D G3O cvG1 PdIu0L 5lMWcS B2IR NcDw ajHtY" n n "rXga eM7 vprJh 0fa"
Transcript_P06 1b "K8V PGraO Djkqu5 IEZjsb sVCZ EVi IFRfW T9C7YL TVVq bBgceF iT2a" y y "K8V PGraO Djkqu5 IEZjsb sVCZ EVi IFRfW T9C7YL TVVq bBgceF iT2a"
Transcript_P06 1b "uYYcuP KAz roI OlAR AQy gDrYl" y y "uYYcuP KAz roI OlAR AQy gDrYl"
Transcript_P06 1b "pT4R 5t95F QsOXym Xvisg 4I7Io 7uM u7O6 aMFY FqXX Sh3Lj xrPmRM" y y "pT4R 5t95F QsOXym Xvisg 4I7Io 7uM u7O6 aMFY FqXX Sh3Lj xrPmRM"
Transcript_P06 1b "3kj 17f2 G5Hj iNp WdyszY DgmRJW krx uEqzh" y y "3kj 17f2 G5Hj iNp WdyszY DgmRJW krx uEqzh"
Transcript_P06 1b "7V2iGZ z5P3 cQr0J EGeyr UbQe oEX YdE" n n "tEBi 6D6 JJGl 5Er3aV Y7Mt WI8bhn JiYu 7lxa 669opS 3jV Sd40z 3DC"
Transcript_P06 1b "m9f 1VwqK gsX 8Ic4Sg UM797 kfE Pycpi8 mMLio TLf 2pEg e6NL SH6Li Tu2 rUlH 3Z8UE 7hAD bpr5B PVmOs y0JfAL dpJe y8MVl j4G HOS Jkj4i" n n "bZguq Tbe jJzX CiP 8pheh F4xmf"
Transcript_P06 1b "WYat J04 TJgBra xQ6nA RvLT3" y y "WYat J04 TJgBra xQ6nA RvLT3"
Transcript_P06 1b NA fill-up-for-keeping-same-rows n "0rgsL B71 Spv9 7pnb H0sI uJs TAYU E8v"
Transcript_P06 1b "KlRis PGZ lgn CO9NC6 ry0sp Bw3 zF2 lb9y9 irhu7" y y "KlRis PGZ lgn CO9NC6 ry0sp Bw3 zF2 lb9y9 irhu7"
Transcript_P06 1b "VxnP3 76EISi rLjwv 5sN6L aNzt oGq oHWiL OtoFH 3E7 TmJ K5xjMu 7p4ns 8pv muYbOr ecSQE S57S 9J2ll p8a8 JqJD 2Uf7L xZl8Q nBq eh4" n n "ZMdc R9Bd g8kOa 9hQ4 yOpZ eENpE KTLCP9 kq2 8Gs"
Transcript_P06 1b "ua6 LXf bFt YYb1T trQMh mNBjif m3g r1np 6LsG vefeJ iM3 guwe PC8E" y y "ua6 LXf bFt YYb1T trQMh mNBjif m3g r1np 6LsG vefeJ iM3 guwe PC8E"
Transcript_P06 1b "4OiL KTZ c2UX0 8oWRgs aF41S JMFHi 4gEyP in3EL" y y "4OiL KTZ c2UX0 8oWRgs aF41S JMFHi 4gEyP in3EL"
Transcript_P06 1b "Dl92Wc Zh04s" y y "Dl92Wc Zh04s"
Transcript_P06 1b "ewmP8 EBV oRyzWv 7IrC TDIq" y y "ewmP8 EBV oRyzWv 7IrC TDIq"
Transcript_P06 1b "W6xbh bYbK qO5O 7FOlo EOBWbs QWYxK OEQ0AE" y y "W6xbh bYbK qO5O 7FOlo EOBWbs QWYxK OEQ0AE"
Transcript_P06 1b "lezG8 OHTF yMHa xpC2j 1iYyZB eAq8 Tbabm 4bDS0K V1spc MtZCRo VBRROG sMSvEp C56wF3 00Ao2 9ExB QA5zK bfh" y y "lezG8 OHTF yMHa xpC2j 1iYyZB eAq8 Tbabm 4bDS0K V1spc MtZCRo VBRROG sMSvEp C56wF3 00Ao2 9ExB QA5zK bfh"
Transcript_P06 1c "f07av RXpv DNY xPU 7hJx SC08r VNq2R KCI gmn Ad1z OzMju SFs UWE ufm PPhG5 Zp0" y y "f07av RXpv DNY xPU 7hJx SC08r VNq2R KCI gmn Ad1z OzMju SFs UWE ufm PPhG5 Zp0"
Transcript_P06 1c "D36I zWxqp kMBy kZC iM6g7q x4IR crjZa EsT8" y y "D36I zWxqp kMBy kZC iM6g7q x4IR crjZa EsT8"
Transcript_P06 1c "a0y1St fiOjfr wU3 tqO5qE bl5t NphESU eKv6qG USAcKd a9dE8 XemZqY" y y "a0y1St fiOjfr wU3 tqO5qE bl5t NphESU eKv6qG USAcKd a9dE8 XemZqY"
Transcript_P06 1c "XaKudM 7JxG8T MT8i9h yqs XEJQ3 JEZveF Y1rYLp 2kX1t hbxp3Y ROVPq PHnR gJj udy yeKX2r y0BoG 6ZKe92 9OpZu" n n "yxbTNL hKPBA WtQPbr nARetX aiS8E WfOF 5SIUne MHc xif qGN8 MEUMu 1WU0 syacz CvZ gDoS GTr kdh"
Transcript_P06 1c "H7CdQJ 5xtjW YrTDeS B0RBuU tGMU3t Y7rTsv UdMF fUJ YiL6" y y "H7CdQJ 5xtjW YrTDeS B0RBuU tGMU3t Y7rTsv UdMF fUJ YiL6"
Transcript_P06 1c "tCYMw 6oELHH wAg7h 1Rn reH oQQb mcyG pffHDr 1IB z3UVp7" y y "tCYMw 6oELHH wAg7h 1Rn reH oQQb mcyG pffHDr 1IB z3UVp7"
Transcript_P06 1c "dqkw enha zFpHcg 8edGj 7HU1l qCwem vvbs RUY9X PfeoH da0C" y y "dqkw enha zFpHcg 8edGj 7HU1l qCwem vvbs RUY9X PfeoH da0C"
Transcript_P06 1c "FtgC sk32Y2 wtje eRj X3z86Y G7VO1X fpw 6Au6RF Z80C qdaKq GqU FrA CgrI Sg2Eq3 2ILLL" y y "FtgC sk32Y2 wtje eRj X3z86Y G7VO1X fpw 6Au6RF Z80C qdaKq GqU FrA CgrI Sg2Eq3 2ILLL"
Transcript_P06 1c "5AE 5VNU b1Er hRoxLh sBW9 ezVq9 m3r UcfN GUaQO" y y "5AE 5VNU b1Er hRoxLh sBW9 ezVq9 m3r UcfN GUaQO"
Transcript_P06 1c "vU8 mti IIgL ame p5Nqxz vazE4 Nf16 1Jg PGQig FrCy svk1 i0Q dUHwc vFCJnB cPBk5 8pdjqa GAg jIU749 OVtFo 6SfE4S r0Ckk 5PJ2 6vn6G" y y "vU8 mti IIgL ame p5Nqxz vazE4 Nf16 1Jg PGQig FrCy svk1 i0Q dUHwc vFCJnB cPBk5 8pdjqa GAg jIU749 OVtFo 6SfE4S r0Ckk 5PJ2 6vn6G"
Transcript_P06 1c "fww 787 HNhRZ eagt KAegm R2zE v5Q Ded vAT5 Ihin I64O eEDlo" y y "fww 787 HNhRZ eagt KAegm R2zE v5Q Ded vAT5 Ihin I64O eEDlo"
Transcript_P06 1c "sbG jJIb mgjqb GRaqE9 Bz1 t64zn7 xhzqL IiE2e8 yfUQ uj69 VNTBdd Kux" y y "sbG jJIb mgjqb GRaqE9 Bz1 t64zn7 xhzqL IiE2e8 yfUQ uj69 VNTBdd Kux"
Transcript_P06 1c "3lS vwIvQ2 Zf87QR l7DBm xLL4kW SqqGz F82 olI6SO WpklT" y y "3lS vwIvQ2 Zf87QR l7DBm xLL4kW SqqGz F82 olI6SO WpklT"
Transcript_P06 1c "EqtO pNY Jfqk STJs4 qWBx 2teJf SE6X VHp Yy1iG 7fohfj yaTcZ EPOr" y y "EqtO pNY Jfqk STJs4 qWBx 2teJf SE6X VHp Yy1iG 7fohfj yaTcZ EPOr"
Transcript_P06 1c "5AF P5pNRZ 52Y FzSjo qbFjv z49e5 2WuV zgUy4 pVtUWl TVg fxAr NWH" y y "5AF P5pNRZ 52Y FzSjo qbFjv z49e5 2WuV zgUy4 pVtUWl TVg fxAr NWH"
Transcript_P06 1c "p5U7f VmdZn RcFhX lmC WPa lJTAC k1maN blQ7nI 87OLlc" y y "p5U7f VmdZn RcFhX lmC WPa lJTAC k1maN blQ7nI 87OLlc"
Transcript_P06 1c "02u 4eN 7dS2 MuF6 5BI fe3pw 68i raH LkvH5I CI6TJ gtWj 2TmX Og3mW CxuRKW NBZr 6zWbBt J6A9n zqryz 3Gg 9zN R4eYXx a7ur H02BU" y y "02u 4eN 7dS2 MuF6 5BI fe3pw 68i raH LkvH5I CI6TJ gtWj 2TmX Og3mW CxuRKW NBZr 6zWbBt J6A9n zqryz 3Gg 9zN R4eYXx a7ur H02BU"
Transcript_P06 1c "S5r rvV zZA WuDSB LGlzT Gmzv4A top1Bv" y y "S5r rvV zZA WuDSB LGlzT Gmzv4A top1Bv"
Transcript_P06 1c "XSOCxk 1kZ yyT4 NJzcpK 9zdCWz hFUjZ 8iwU" y y "XSOCxk 1kZ yyT4 NJzcpK 9zdCWz hFUjZ 8iwU"
Transcript_P06 1c "FEeh V9nt kR28 RNG uE09l Dp26 M9QMVo 9r3b8P I55BUL Dmje5 pl1D FxaFdc T7CaKo 0j02B gaSIc Y5z4 1NCa0 Uo5 7oh gZP6" n n "y8iP UGJ LEMxJD NgX 1j0p7 rUs8al ZsY4WO mtZ sIxRO iczqHK"
Transcript_P06 1c "hnL 6rObcf iixr 2PGBk Omu SAd dHk d5q Ar8mk8 tPngF" y y "hnL 6rObcf iixr 2PGBk Omu SAd dHk d5q Ar8mk8 tPngF"
Transcript_P06 1c "hoG ICsx jVyJCZ FC3 gB0 0jxypG 8rk Yi1VF 32Nc nGpM foP09 N5kiM 246 Coy3I pLuQ w2z1RS hPrz S7XN 90Ic9 v1q0t KLD hoTi1" y y "hoG ICsx jVyJCZ FC3 gB0 0jxypG 8rk Yi1VF 32Nc nGpM foP09 N5kiM 246 Coy3I pLuQ w2z1RS hPrz S7XN 90Ic9 v1q0t KLD hoTi1"
Transcript_P06 1c "D5eF 3tlA 9qjt cCL ZZhsYP eNOul O8t gyA" y y "D5eF 3tlA 9qjt cCL ZZhsYP eNOul O8t gyA"
Transcript_P06 1c "mNA HxWKWv UEnek MIL e4Ns a1fy jbeU aSi1iw Ui8 QKi8 gZS9r" y y "mNA HxWKWv UEnek MIL e4Ns a1fy jbeU aSi1iw Ui8 QKi8 gZS9r"
