No. Proefpersoon Instructie_Code Segmenten Codes_Sophia Codes_Marloes Word_Count
102 P07 (1a) "mRiXC 7rX5Uf 1xVk5L uBtZn xV3wl bbQ3 E9lm Gwfa3 L1z yYX ngrUhm y6f4hk 7ktJG6" 10 10 13
103 P07 (1a) "HFs GtBT qON WJdbR jUJn DYqc7 L0in1J qmJhlr Kcx7 kWV 9sDbRE q5zv m8sB jmdR" 8c 8c 14
104 P07 (1a) "2cFC BUiKdS iFpqG9 Kujem NHbB QV5cX TcD KwFm9u" 14 14 8
105 P07 (1a) "ia9B YNYB kV4 01z1Wu b6L9 gmf" 12 12 6
106 P07 (1a) "8ngdK 7HsLas cCdT7 rwCS ZWe L5t" 1 1 6
107 P07 (1a) "oyyBy qw31 RAPW3 AvozK" 8c 8c 4
108 P07 (1a) "qhiOEK dFts3 9JMmVS wWzaZx uclyyt NiP aC06mb ysiiQ J1r An5 JY2m fw7ip" 9 9 12
109 P07 (1a) "yKG uxDEoX Hga CRWsm tRH MDT4B MAeRh cqn94" 8b 8b 8
110 P07 (1a) "Coe F1v GBbS cu9hpd pZSe NvG" 5 5 6
111 P07 (1a) "n32 Mrfz gx54qv 50SDw0 k8yq9l TQ4u 8YJK AjgBX Gxms jPOmc" 9 9 10
112 P07 (1a) "Swd htW1Z Sa49Nc nGQq cTW1H 6fv PX9fSV ksY4 jakfQZ GIDK4 4LqOsT 58OF om7Wza NWNE iTuhH SXbqIb 3uosM 3qJ" 8c 8c 18
113 P07 (1a) "kpgfx 6Tr79 ILx Py6NA 7ff IltXzn vsG x37VV" 9 8c 8
114 P07 (1a) "CNwd NClb EAc BYy VzU FmvM2e sH6xch mRrtDK y3x7 CSfq" 5 10 10
115 P07 (1a) "7jQxc SWR keV zYTlLk ukv kZrRG Sb6u" 8d 3 7
116 P07 (1b) "P67E9 itv cAuuRI H8aH9 eB3 BZH WfYbvq j5I" 10 10 8
117 P07 (1b) "Z6Tn8 x1a zM6xQh aq8z nngg5A wYd8R H7PO MkJX" 4 4 8
118 P07 (1b) "9y5C2 NUMoXz ORnk8u F8Qsl 3jn pvFe Cdq" 1 1 7
119 P07 (1b) "fMStLr Y2lfe 99A um9kK ENr9Zt E5eT u92 4e8lo lXV0wP oDp jVZIL" 12 12 11
120 P07 (1b) "g8F Kdtc BQWk1 cjN J9QFS1 YUV YHyXl 5MKO MN7UT EDn kJFRmM" 9 9 11
121 P07 (1b) "jwDf herY 381H2v n5Qccg s4lg9" 7a 7a 5
122 P07 (1b) "9pOh GVS aTi Fj3 cH8 c394" 5 5 6
123 P07 (1b) "8sDG t7BQ seC MsRDQz g2ZO0 DLeJIV Dv4W 5lzc eceAj lj6W0 prE 9kuyw gz8bTE" 10 10 13
124 P07 (1b) "vPX0A qRr5w G74 0L3 ZAcSlL juk9J" 5 5 6
125 P07 (1b) "iIxDP gWeKaZ xhHi2 N2Kx gf3y4 rg0rE yj8v CSSuCI 8tSBs fpFzy c0m8 Hov" 13a 13a 12
126 P07 (1b) "q3Ce JxdBkL yye 0oTm9 xndiT 8r3iw" 9 9 6
127 P07 (1b) "OUH 6n20 mfWht q9Vat Gdw2Sh WUge URoC" 1 1 7
128 P07 (1b) "Iq7M4V n1o QHx 7mT9ra R0QDB hkKp2i bxLJWC BcyaC9 fAFam eeLPv4" 9 9 10
129 P07 (1b) "PfH nONec AAFAP7 BTi VqN KVzGJ Cnb 2smb9 eFh" 7b 7b 9
130 P07 (1b) "gARz4g Ou5 VNg5a 6uygR JmepsV fSC1 RZrrrc" 1 1 7
131 P07 (1b) "pqbYCM kNVO XcQp ZyOmt0 8kg pUiOm 8MUa WKpIz djM PgH1a 7ByXW QUoF" 5 4 12
132 P07 (1b) "rMGkqO mqS EYWh ItpN we7 NrnPuF 7yM" 1 1 7
133 P07 (1b) "jLIWbI ynyfc JcxjF rvL NCU nmS QDlG 8pVJ jq6IfF DrS5 ypagL2" 7a 8c 11
134 P07 (1c) "Q4WX6 Uazt lawb rbJ9 H68L Z2FB5l cNny 9JlYq IPzF NUI5 birW tluLL CzxVXX" 7a 7a 13
135 P07 (1c) "AXek9I kCO T42IrP 8PFA XD047 ML9kaW IVl3i MEzY" 15 15 8
136 P07 (1c) "sKwh t8D Gyi Yc6 eBT 24eP" 15 15 6
137 P07 (1c) "ELjID Buh5 vJsdo ThSP MXXYbf 3q2 Qv7l 2n1wdA R7avv0 EEmPq8 df6y ywU tJ9j3 UnLt" 13a 13a 14
138 P07 (1c) "Y1J ciBtEh IGRcF oATdGi RQFLw JJvoum rMHLc APeJH Hms Ssz dTcZie RosI" 10 10 12
139 P07 (1c) "Xbe9Y VTe L6hf Yf8wt 93GJ iY4vE qmk hgVf4m 2T6M CUaKB ffU c2EG 3BW ZaXhrR 2Vn 1V4q" 10 10 16
140 P07 (1c) "Dvl YSFo3 LSFMoF Hjr 6pU6 edCJ8 Yd6 9ZmDD T1j7 thkFs srU mjQ 2x0 qd9lq2 sSiS" 9 9 15
141 P07 (1c) "7qfp osaFH UdF RkX YVYANk 0O9W jjqW8V IY1x7d OTK idw4H apM Li22fD UJrTGo C5e8Jx 7Bg wcm" 13a 13a 16
142 P07 (1c) "lWeqgJ 45vlj HO6 hfJAk2 iKGe9 8bQZh" 15 15 6
143 P07 (1c) "ci1KBu Nkl 4Lt6 s9Vkn 5C20c jfR mfkh2 ooFV0P 8gA uxWA nbUvT" 10 10 11
144 P07 (1c) "0KQ9T kw5el YbJ lUity3 k5mV8h xU0OA BGLc nwkDA" 1 1 8
145 P07 (1c) "Lt2WyK tqVE1 bhXx qWQO n0CY tmku sUwjv 52e 0HGyL QbFqwh RYwN" 9 9 11
146 P07 (1c) "RPX erBP 1GuR ClM HfqSz" 10 7b 5
147 P07 (1c) "toGC 35dvNo exCPB 5Fo2J scl0m fMlc11 UJL PqH HMIjne VpZ1" 11 12 10
148 P07 (2a) "7XBrqp rvpi1 qMI yaybin 3cvc55 bjt RKNoK OKux 42S2 XtuNAB 5wel" 10 10 11
149 P07 (2a) "E2s tUJa IUH3 rDwvvD gNtNs eMfyl IxK97 UumlHj nrqg" 13b 13b 9
150 P07 (2a) "H8Xhv NGKUG DPRYf OnZf jrH8 5Vp zbI rFgvr z2l 3fAiIk eJCg KYl XAIgN" 10 10 13
151 P07 (2a) "ObDe wjD skgDy HVOUVF ggjp9 i5KH RDfCL mc3E n7dc1" 13a 13a 9
152 P07 (2a) "ElOvr5 Of0s2J L7v eol ArSB" 9 9 5
153 P07 (2a) "OPf tgY rc8br1 MYN F62Ap ovIVh uJny Pn2p cnC OqBy XYWv Ji1" 13b 13b 12
154 P07 (2b) "z3V O04bwz 9CIFJ zqX 1RL ysp T48pcB X8f6K cgUvq lgD SrCS0X" 13a 13a 11
155 P07 (2b) "1vo FvSQ YkZl aPT uKAwYy l5guH dI2s ZaXhR 0uBChw UKA XDyYP" 13a 13a 11
156 P07 (2b) "ijg4a wcm f25e6 0St7S hsxz abx 47I peq3LH 0FtR NGt T0XK fdRl b2E" 13a 13a 13
157 P07 (2b) "icPH IOjF TBbjN mnhSC qTkJ4 1KY84 wB4hV6 QW1 NNHvm" 13a 13a 9
158 P07 (2b) "smpduY dnuzQe yz3P fE4SrA cFHbo PcFLt TFrps ILFcH cMGl" 13b 13b 9
159 P07 (2b) "wq6cy bbCw m6dRKk 35MA jHEa1 KnhtGy Fkrn jRUMmO FIg qHyynw DVh Jm19fm nG6Ou vjx 0EDruw SoOz NvbZdI trpkF Vh9V" 1 1 19
160 P07 (2b) "TVq1 Ix03C dF4 ltt 9xo 1GigHd 4fyM Tc67 MDMG VXCUYZ" 10 10 10
161 P07 (2c) "HIs ZTP dKJa 4GMam cQvxj blvHcn BpaDS T0Y KHm sJ9h2D" 10 10 10
162 P07 (2c) "hjw hcZ9D ggI B2d oqsv GjRSr 5nZ TmKvLP YRDO1 y2Xq 5t2k FEhb 0Nj9H" 5 5 13
163 P07 (2c) "NxR oRS YwpJC n0mMdw vGSU6 o9Auf9" 3 3 6
164 P07 (2c) "0Jw3TZ LJZr keywoV iaC sKu OO1SnQ r1iF0" 9 9 7
165 P07 (2c) "cQk8e SQK 3UxQt Vt7 cmVE niXO sfE h2x kxVQ6 lJMmCw uWp K6ed7 uG8YZt pWXT3 u5Ro jJY lG8E" 7b 7b 17
166 P07 (2c) "Dd9ZF hnudM H8Jw78 UoU KET kDWA 3bhwo YPVtX1" 13b 13b 8
167 P07 (2c) "zXF7H Sjj DXm 7oOv bzY eBjh4 QOQGZ 92Cp nsoR xVr5L K2K" 10 10 11
168 P07 (2c) "fmmox YCw hyq5j LHLCop" 13a 8c 4
169 P09 (1a) "Qfy2 j9N qdDT1 faPkX Cl0v jjhaip Xe0c pCjf lnm KGyz RT2ij KDugox hoPvVv YVboz T5t8lL WqQRn" 3 3 16
170 P09 (1a) "AsXneC D4n RUOBUI 0i6Ex EX6 ednsO 6ti3wM iKf RNBLI" 3 3 9
171 P09 (1a) "W96 WTcO s5nY qyYczm huu6km IhaHLY ITzOvF" 9 9 7
172 P09 (1a) "T23F h9W ksZhzQ L18mlK XVPIog Hmhs9R er6AbI 8fx" 8a 8a 8
173 P09 (1a) "p7Wp kPxOyM rLr oFkC T8k XQu FP9eNI" 8c 8c 7
174 P09 (1a) "ero7F fJYZ U6OV t3OPN Uhmr XUO2" 14 14 6
175 P09 (1a) "UHuyT wyZEKd vqqH0 eDlhsC Vxklw bvK 3Yk JijcEw lLAkir Pc1W3 B5eB XB1SY Psqv8" 1 1 13
176 P09 (1a) "NmHoM1 l5Vtdh wxHMs uPv0dn VnkLD nUCc1 1CnIbo kHOT 64LT FwV 9r3jmk" 13a 13a 11
177 P09 (1a) "u9u Y05UA FtHB1 33yI wYFkA hD9fsE Anz0 Sb3tqW oFtzkw oP3atF Q0d" 8a 8a 11
178 P09 (1a) "D9QH7 9yYf0 vNATE unZGI SHP0j wcN" 8d 8a 6
179 P09 (1b) "l4Vo b9i Vp7pw Zt4F Cri9 UWl moqT eWiQMz" 8b 8b 8
180 P09 (1b) "f8u0 jn3BMe jdX RLJ3 kTI5s 4896l RLK Etl" 8c 8c 8
181 P09 (1b) "Fjak7 7NCc 61Y7b LQg8 g60l YMh ipKi" 10 10 7
182 P09 (1b) "iELLk cV2 VCPPj PJe polS2c s6q QJxroU W7f 0ccB15 rbGWx7 RoMa1 7JL RGNrw YbvU4 qY3 Qt8JlN rWJwOT" 15 15 17
183 P09 (1b) "H3Xf HMwC0" 8d 8d 2
184 P09 (1b) "xRMDuO gWbh qOjAuB 90Y7P oM9p7" 1 1 5
185 P09 (1c) "RFpg Vxi4NT uk9i9B Is21B aMSD uRa 7LOqF uF3W DD3eE" 15 15 9
186 P09 (1c) "XMYR5 LDVq Vs4r6 X65GjW DI90G lHPJ2 8D9gn K9G" 13a 13a 8
187 P09 (1c) "EpCZ tuhJ hlY8oJ AU1ocg 4HL 5vbZ" 5 5 6
188 P09 (1c) "DWxs PAsJNE 0ng" 7b 7b 3
189 P09 (1c) "NnaH jon aCe NXZO6 O1s EJtnbo neU 2wO1z vu2k0m" 8b 8b 9
190 P09 (1c) "BoYF GV4KW UcLQUY WWoKI BnJDU m5M TeMq 8qru9 7YZz P3KnmB TR86 uuG1yn E3Qnz" 1 1 13
191 P09 (1c) "G3quMj YOeGOc qPt0 NR08VE T0bP H2KHUE XskqJ QFG 9R1Bgn B3d t3aht oEJJ9 SsT 5ZsiO 7ix9 wLf KRz" 9 9 17
192 P09 (1c) "XWA LbibA 9zJTHX Wwy6N Ace 4c5 M3atNe d6Y ySY9NO NSZGE" 9 9 10
193 P09 (1c) "4Lnl4a 18csBH dzMV cz3GdY IF6Kv zWsZ khl4 yLqvfP sSH8 wIxY EQTlhr glJ bcd 9Sveu" 9 9 14
194 P09 (1c) "Ggjh Bwcdmk JNhZW NNWI XDPV5u zMEhY 33W QhX rOHV nb051 8OZ mA12 AtPrV" 10 10 13
195 P09 (1c) "ZA5vaZ rUcQp BD1 YQxZd AywetK 0mmt0" 13a 13a 6
196 P09 (1c) "xjrQ 28J XqK wPE nxI1c iwI2h P0PVkN vGMKhn w7u1 a6S0 IaJ 9qk 5iZ" 10 10 13
197 P09 (1c) "2Kd KRpg7D CWl zfZO7 f2ko03 m7EC Cfexf7 FzQUS" 15 10 8
198 P09 (1c) "TA8pMm t55HN oyl 2ye4 5gxF3 U2z0I NAJD Sdw5mK sSd 9a8Jn" 8d 3 10
199 P09 (1c) "78sz93 mVqR1 MI3 diA19d 4Yqz o5wP NvXe 9vWR Kqh" 10 8a 9
200 P09 (1c) "wxOYtv EEu ugB4 zMypW w4JOoD dxFy aRf pw72YF UTP VwcT Ee25E ZOkpmF WjocKj ADju5x" 12 15 14
201 P09 (2a) "FuNTb7 Umt nqHkFr qW9 ocx tVVP AdUn Mlo NMd1J JK1 3tniQB y8YL0 eitIut 94FXa3 rvT Cf7K6z" 15 15 16
202 P09 (2a) "8xKe an1g lLYh au8BP PMUWg8 EbaoL Wb7A1 uOG 7vaGE8 n3ImM z7nr DwnAv 5vQKK" 12 12 13
203 P09 (2a) "sYAIt2 sTS Mqzra bNDS N1Ur YiaR9A IcvDb" 13b 13b 7
204 P09 (2a) "qfFuh VLEXH WX0 xbif6 sLSls gWd AZ8OHO 6aufB erl5K" 13a 13a 9
205 P09 (2b) "1cZ xGko FMt1Z 3F63 4q6C4 tq4j NxU Umn udH AzA" 13a 13a 10
206 P09 (2b) "hjU wx7ta 22b4bn" 13a 13a 3
207 P09 (2b) "qgwD WRLjFf ZPw g7ZJq h97s FJHcfg CowFc vZeI8f 9brz VY4JV" 13b 13b 10
208 P09 (2b) "X6uu FaP4J gE4X 91t 7l6WD n7lJ6 xuTv 9mr9db iRG 0IZ PnS tMfJ z5rh" 11 11 13
209 P09 (2b) "7wso J488ft BjKjHD Qmgz s7LYQ JPqW 6M3 fTitYz Jm0xq QShDAt UJgGr8 K42 wG2vvw Q6fhLN RXIEj9 DgzSt5 7UuB v5rAN ag7v" 8b 8b 19
210 P09 (2b) "Qeex aXgw1 0ucNB OpYn BR3 CegeT8 8ePFzG sbtSZ Pbybc b8h oRV 0vZ C0E6 jTbvyZ 7odsb" 7b 7b 15
211 P09 (2c) "g2dQeP kauST mcS4Qe EzVW 9KXBBW l67m Zjw04 6Gt m34nYM o0ndQ IPAH4o d71z zZkRB xfwnQF b3H" 13a 13a 15
212 P09 (2c) "KmzU3 Y3qS A5J iQ7 n0pJ QOOa t11mo g8EU7 Grc EGNl QuCgB2 HNqI5A 5dZA Mp7Is" 13a 13a 14
213 P09 (2c) "A3GW3j XQX8HU V5i1 RQkHih vA2G XIpE tiEW ctOb 0Cf" 10 10 9
214 P09 (2c) "TFuM OvPI C0JW4z lSRjve woiv9 jitA mekIaF E5L4 ni4tyG fZub" 13a 13a 10
215 P10 (1a) "t01WX 6k8Lmi DBnDg aj8 TWBLVA W0aB w1Zltw KiH du2 vlbHcw KuAqo 6O8c" 5 5 12
