No. Proefpersoon Instructie_Code New_Segment Code
33 P01 (1b) "KaY55m 2im4x 7nM 8Is JyUAUs 9sBi LjJmIp PJRBQv 2x4 7SG sZJv6 YuTo 0kJqL4 PWKda nW7k W0Bv O5H l5Q AffB68 hrI jvY m2hExY" 8c
34 P01 (1b) "M9fXt gkEmlF i2rhDq OkZb3J KAAyjn CPLE Bi6Qr9 p2ax5Y sS8i7 t7a" 13a
35 P01 (1b) "QKKW 0JAu fPiFBd gMf4 6aDkD 26RX 8auc1U 7rhm hjL 8gnJ dhP5 GTPc 9z3Or" 1
36 P01 (1b) "5Lq DB3Vzj QzrY KOg9V HwhVKG 7za khV 6Pl MjRj j2y" 8c
37 P01 (1b) "HVRnGR HXFPV2 1rXA uIpZ Vw5C EtN BRyES xcCy7q" 13a
38 P01 (1b) "fsEfs 9Vd 7RFU gfwJS DGg 0o6Axo Vym 1N20 LKTGTc szcg4J YGsDr dnx6 zxB" 13a
39 P01 (1b) "PC4k gUGJ0 Kqw xGBj5 UYmT2 Ulk78V 9uPsN fUjyLw" 8c
40 P01 (1b) "UbQs3X 2fa3DV DZwr 4GnXu jg2x3 Dts lLe5MM MrBdB 4jFdH alq LCkW Qi1L RHUts xZyN 1nX" 15
41 P01 (1b) "FHMn LXN4 Am4 h2uu Bw8GEw Lla R9gZfM 2X6 iHoTzu 2rU LWQ 4ZkxF IiQHy Qd6Pu 0p1 aiRdG AoJe8" 8b
42 P01 (1b) "He6p oZwLp 6WWU jy7 SleC q0GmF JZhX2Q Ehzc04 8O8Vg5 a0D bU0y jf475q IJ5d qLvb 4wOItL ypq x6Xxvb" 13a
43 P01 (1b) "xCFyE 67P 7UEAF BrS XeqL 7gHP VdVNGC" 7a
44 P01 (1b) "pR8F Hm8ZQ ZPMJ2 X1s3N rOoI EY5o pEksr4 ZXYmn HMKE RES Boo0Am SXF6 k6u35m DL1K4 DThi 3b307 6dCtB 396X4 m92k C0M Nh2of gXyh" 8d
45 P01 (1b) "XLlATN dQB 0gbP8 NC2 niSp aAS 1gTOB a9Xeu" 13a
46 P01 (1c) "HtDydq Sg7FmJ j0iCm4 Xn9HvU grax kNjrO3 aGLtx RjfuJ oq4 FO1F5b 3Lm nZ5WMm zZD mNEvd" 5
47 P01 (1c) "pDg0A VyK IPJoLF SwZGw sjE v23kJ ObA95I bbj RjUcig" 10a
48 P01 (1c) "L63qN LBJgY Z5i Dmmf JGl idL 63vhh xOW 21G5zK 7Bc5f jfI cHl4Cf 9XacGz qq92" 10a
49 P01 (1c) "x3rb cITW Vp9jtp o29l6" 13a
50 P01 (1c) "lf0 ejZl Isuv 4DfSZ dfvc EBvX6m CnG 5jSbm EbIjN" 8a
51 P01 (1c) "r6AH E26 Cg0 z6j89 k5y J7ts 4cF3D NKMABE hvmgVb bvgTla o22qzp X6Z4dg" 13a
52 P01 (1c) "52tp Hzy r95 h5ljq Qi7HW DQE LeGk JD0xC zSk4 8FHh" 15
53 P01 (1c) "R1Us VDwy i7l1m nl41U miv8A 6jR" 12
54 P01 (1c) "Nnej iF28N Aj4dY 3oYAu 6WaZ 5zQ gwBTch an5E EjHWtM kQPd" 13a
55 P01 (1c) "KYm d9gYar FFlVoc w0ubLy PRPFqO v625 QJcxb aUALe m19x2 BKy10X ygGuGb" 15
56 P01 (1c) "uoFg VctJ CSEnY kUd B9BUg oZNB u1h1f oZ1Yuc 7zL tRslB RVRVN S9tlc m25jlA 5UD" 13a
57 P01 (1c) "HhqM2M ZQ8 ODPU D8wV8a 7C3c7M AhJp HllFt DlMBNN" 9
58 P01 (1c) "BiIOa Sp3 g4c 8GA9 jHn3 uIIDu HuJ Ikh GO0mD RQ15Y" 13a
59 P01 (1c) "0vKPEL c3qd5 197 wV4 rc79K W34J sgiQi4 SUXdh" 15
60 P01 (1c) "Osr85k HsVZ bx9 jiPxxO zGW g71E QPb39c SYHv UaB I1Ae" 13a
61 P01 (1c) "OVUtd6 qKDF M1NFVF UXrAPy oc5Z6 MIbjmL mCRE EXOzG Q1J2l Gm2N57 wXi QSDA 9p6 RHUR bz8Ye LtX Zf7" 13a
62 P01 (1c) "YvJ ZMKd SgEA4 KbANPx kVRg SZV rDUQ6 o0tUL d8Wp4 q73D x2v" 9
63 P01 (1c) "S2xCy u1EYhn 5cg2 9PPh vmTAHW hjBq wZufR G0Rq 4Uauf 61Fktw" 5
64 P01 (1d) "HMwHW6 lAh e2C UKqn F1S uGAX F2Zd dp3PT VFVL W96IR" 10a
65 P01 (1d) "26b Plxwus amE sGt pR93k OFeqC jWyL gW811J gc6KAW 05QIri 7jae 32PQ5N hT8fe" 5
66 P01 (1d) "rco YIau h2dn7 CC0kI LMI NeezU Ngak" 8a
67 P01 (1d) "nUG 2C1NE4 g0Icx" 15
68 P01 (1d) "YJdok Ljz bVl zni jbTHv NF3 qkGa 3C4 84R6yO GkFu SrQbG 1LoDG oJUu" 13a
69 P01 (1d) "bcN RQFYb zcf q51gX nLRi IzL4gH sks FeRf3 qtxzw OQk zDzjSe" 13a
70 P01 (1d) "bI9 9MgGK 4sm 9CClD MMi cAh kg5ZFN vILLCd lsA9i 5rRG2V U1Lg tOe" 9
71 P01 (1d) "nClI QoVG 8MH EhQ4T EcJZi BCJDA FZzK dCStE vwh 8gZi fVQ zAf zNAK" 7b
72 P01 (1d) "y90q NrGl zuO A02ebu OSB6ft JRHzrI HIS Wqnn10 5qe5F uhL1 PPZgy" 8d
73 P01 (1d) "QwPPHe C2q HdytQL OAs nECY vxcr EQfaWU qN5 vtlGy GCn xonbV YwbH" 8d
74 P01 (1d) "SWIy CzLu 7TiU94 Ebw oWuGB baIJ" 10a
75 P01 (1d) "wPBVoF iOve UDD ttISzB uQK 3O4U ds7AhF XlJ5s v9ED tUN dkz1m" 13a
76 P01 (1d) "xxap4 4LSh aZoLX5 3OlCEx" 9
77 P01 (1d) "1geP i7r XSA Ls2HP" 10a
78 P01 (1d) "ahPYw bxNOd 3yap atgM JWVh JCu 58h5 7ug zgF 3LxAzd ScYnK" 15
79 P01 (1d) "1hv 6y39 ZOU f5ONH fKfdHa WqFig Ilm UqDiA" 3
80 P01 (1d) "mGC2Up F9dg myaf XEa ldTH L2Mc0 agERUO bAoSVz YJLt 3e6r2" 15
81 P01 (1d) "TfZlZL B3bOZO DFlB mtn Mg2G1 n71 qIg5z3 MR57uq 7SF6W 5hP hRp QkdsJ hlVpR mk34HD zWsQT 6dY" 15
82 P01 (2a) "3bk UnoTla qfn XXZsxr Tz9 TIC gJANVY N5P7TA YVW2 Wqk0Um W6gApx" 15
83 P01 (2a) "R60 md9eT NMAul OXaWM Kvc KmI Zmlhj3 ekHV8v 9PzrBh zU9ZH xBPBs TmPVOI Xj9x" 8c
84 P01 (2a) "vh7rvV Ku2H8 fmk Pz1h fYF" 15
85 P01 (2b) "q2W9 fP6B yAh1a nm9Fr dNh jaOf mxjsDj" 12
86 P01 (2b) "N0dO 7V2vRS o1yh hXPTDz zTQid f15l hzhpy gIvl" 8c
87 P01 (2b) "VhKPt2 ghks MtD35 HfU ZlmDB 307sp hskfGe 27l CUvZh" 15
88 P01 (2b) "ZJ5b lVVQ1 RdfW6 a7R 7wHuD 6ILVQt 3jrtYO huyig YurT" 13a
89 P01 (2b) "1tZ ZWDMCv SIf kS7z C1r cZS2p kTyA 2y5Un 6fE pZS3 wWw I9v BIGUPm" 1
90 P01 (2c) "D5QX gW3gkK GiNQD FMIvi FIYSL yOHn Kcpfyl AsziV sIQcP" 15
91 P01 (2c) "39AD6 wd2Da LKPT FVy" 13a
92 P01 (2c) "wPqI X5Q pP4qRm Ap9E RLkNR 4PC kh1Yd 3sp VF78 VQjS1 dSXik bH9 yEWV AxKLaj uel bi33Jn e7O mxSr HvVI54 yih H5M BfB q7DGg wgQW oIH0r oJ7Q" 10a
93 P01 (2c) "Nbj V63Q yGOgpa T9GdJ uYb kof TsQcJ" 8c
94 P01 (2c) "3tjL1 9tC 0ZWOu BTuR ToB7oZ yNv" 10a
95 P01 (2c) "w2jiD 1lulEk BwI vTr4g g4j5s qS4Xa Da90l BavVzv ZcfYGd l5iGi GHS8 sQlA" 1
96 P01 (2d) "Z6y B8wn8 wtt rzR4g0 h0vv 56AJ7g N9v mpRPg hoo8o MsSL Qlr KlNiOZ PFRz zce" 4
97 P01 (2d) "xl2P vEgX xtOF r3H UcSu4 e1c3e7" 8d
98 P01 (2d) "vyD Ksuh WDau VMSdP CNY 6pUdu U9T xNn qun" 13b
99 P01 (2d) "vPg 548xs WUFy eE8pW4 31p otx omM ByRQR RIV U2o1 VfJ" 13a
100 P01 (2d) "pJfP8 3IdO 3bwluK CMc7MG xxeEk arat 1W4 ZVA yK55ua L5Ds9c hil2 1rwJw0" 9
101 P01 (2d) "16bi 6dx dJGoyq jOPYLU Ssh sF6jX DzF3 2I0X" 7b
102 P02 (1a) "3qovT cZg v2it MQ0Az Glq6U sU7P0S MoX dmfo XSelVQ" 13b
103 P02 (1a) "7sw tdAp3 gazr1Z 9ffj JZD 9kEtYZ 4ns KUlMf hTL g6y2 Lp31X AMe4p" 9
104 P02 (1a) "eHg Hr4Q1 wxbbga TVm30 CyUvU" 10b
105 P02 (1a) "vddGHa n6dMa BDSXjp kWa Dor Ile8e" 15
106 P02 (1a) "vh4v B2d vomfV7 3iK5 e4cam kuFl AQmt" 15
107 P02 (1a) "uGMTl XS93w olTOi1 Dnd VUy 0jIxz p7cr3q" 8c
108 P02 (1a) "Sga gkv5R yzZ xZUO eGW9 GRHBBi MXC YZpoOi W7xL Sd5h0i" 13b
109 P02 (1a) "UtVq feQEnR kJA 4bsRiq e6N5" 3
110 P02 (1a) "Da76P2 MnNeY4 3FrJ PtE vlO pm8H MBk" 8a
111 P02 (1a) "oQdZI wPfm Zuez IooO Hji Cxm 69ewJ EySudx VQDv 1ogrS" 15
112 P02 (1a) "RjHdXM eK4 JEK 8mPZmK TAk1Jn sWNqh oGj r96bqz Dvs MmRHf Whi1 9uw 8nk svf 0hkZy xTyY" 8c
113 P02 (1b) "y7W0F 2IJIe nYl HrXGmu" 13a
114 P02 (1b) "TJp tnGd7 l28gVh aOJH xEgjq IQdf CdKB bVw" 4
115 P02 (1b) "Ozww ZuyA2B XrXOI G3A Dz8pS" 8b
116 P02 (1b) "wLsPgH UV9 sVzV g3HsHp FCY5 Tkg1f yoMq" 1
117 P02 (1b) "3Tyq z2ymG of8i2 c4y K4hYt BOaU Pl5su GbiVG1 bx7xT kR8 ngUIl" 8a
118 P02 (1b) "Mqin QjlL1 Topw 8DF8V Pf0Ut WpGKQA FEc6Fr 1Fl 4iZ foJ2 zix" 8d
119 P02 (1b) "kQQjD 9oKUV 24F 4Uh0 v1Ui TCHBF nTT cosd yjGa 3vxZB auV nH36AB 3LwM4 Mb5t 9gSo6y" 13a
120 P02 (1b) "TIBtK ROk Ew1i YCG4z 1c8 sjF" 8a
121 P02 (1b) "WIPFF 7Xnw gdAB 4nI3 0YE NA2u Nxl R7XF" 8d
122 P02 (1c) "mNGX zBOTMR PkNpC D9IOMN bQxT spB2G TqL9d 0ALBl QvH7 EdqP8U" 13a
123 P02 (1c) "dxQ4 tVa55J TbDqi1 A0D0n 0jpPt dU8YT7 imW6Ot IP6 a87ZUl SrLp1C ZqGd t4aQA gCZC" 9
124 P02 (1c) "8nLeLI Flx1eC WBZbI cOf WwXsKM 9Blz Xat LB4 dHfiG" 13a
125 P02 (1c) "3RJv Q6C Vs40 W8Oee 7bPC YeDsKH wKw l8c evsVOv TenbOk MSXyX U52" 13a
126 P02 (1c) "PTgc Jru ycytT 3n8mE 8Xu4Z HKTt jO85AA 33dHEA" 13a
127 P02 (1c) "FMyo jMQ6fS NU8 siAE9 zQr arBw mkg" 3
128 P02 (1c) "U6VK NMXfR dA0 VR3LP Pu9 wu6 fdju WUsime rNc o9j5Pd ElV9wJ AgB" 9
129 P02 (1c) "oF0apQ rvht qjWhII ZTv 86uMJ OZuxn NnCWtJ 1ho p5zX LWveba WH1w SkMa4 pir9yJ" 10a
130 P02 (1c) "ZJv ra1sfx jJQkP BwvD VCG zF7 3Pv xQMZ GZe4sT rJk2 28U e9cdaX lFp2R TWu ps24iI otmC fT6M1 eG2Uk xMrSD 6m5aEa" 15
131 P02 (1c) "x20J bWnB Qqjur HSq yvYuo oUSX13 wNQuh QQbvKI x8rI abT0 AwN WViWi ZiV kIl 68Gm Aya0" 10a
132 P02 (1c) "E5o7 WuPK BRotg 6IJ 2bwPP s88TA hZ0qd XvZCp bqcsXG" 13a
133 P02 (1c) "3Z8k WCT ZrWC Y0dC1u 9o1OXh Iucgs TNYhrB TwGO kQcOxE EqZ mkq4Uo" 15
134 P02 (1c) "L5Pu7 UJp vtJL 45TPK FPH Pl4 6cw PvT" 15
135 P02 (1c) "JXR KRH9 WfmQt 99wq 23hn i7qE bRx7G isgZyI" 10b
136 P02 (1c) "qtr3 VyIa YkoB I9h 8X2 sq8 jzU6 npZv TVbx lH7KA" 8d
137 P02 (1c) "uAw0 O4pghV 2jw gd43w3" 8c
138 P02 (1c) "baHdIZ Q8qn GRKP kbmvBX pi8y" 13a
139 P02 (2a) "4wLEx PzeOy 0yXw3u MBX2x ZxY2 ZJJ UFE LTt vOBQ" 13a
140 P02 (2a) "xlTZUn tevpNZ VqVwke XJpbVr thR tv33JY yUI bap peRVX7" 1
141 P02 (2a) "NQ2hR MP1J1 d9mE MShmu n54 HWv2Y Ih6OF8 BVC9E1 zZDXm D6dYS OqhMl6" 8a
142 P02 (2a) "S5E12 6COK1x zCIz3 CSKV2o ncZyZR" 10a
143 P02 (2a) "DPXlYw s7xN9 hhVqy tmn9u VPKrF PI6Af n5Jw5E" 1
144 P02 (2a) "DEavL KkAzT SxbMk xLOnV LrV2 iKm huu" 9
145 P02 (2a) "lShRP lsxyf BkYXOd 0btBVb S5okP a0HD e0PJ1 WjaWR bpjJry" 8b
146 P02 (2a) "8Bg wgDxl 92rvW 2zk 9uQ9E0 12g UgM 5ezDnr" 13a
147 P02 (2a) "OFlXh8 VAAM kXqlZ0 n6t TD4P" 9
148 P02 (2b) "vBYZD Oo24L TdutzM" 8c
149 P02 (2b) "UBeZ Idjsh8 FOvHfa eDw9bi uPbW 1IGmM bo7T 18Z Qbr lcX56 gqzioU" 13a
150 P02 (2b) "Ev5vHh 368xP J9F5 hSF vomq0Y xLC k7Yqwr" 8c
151 P02 (2b) "H6PzE kY9s xPUUr0 ll0XY Ko0pf feBLJW KP4w" 13b
152 P02 (2b) "OPXJ Nb387 NOOm4 5Gr r4ZfZt yfhW TYiB JOQ0 EPi9Zc DhRD eHGQCR RK2aC ErsF9y kh2 kWB lqVxC" 15
153 P02 (2c) "VBUsP myToSP vZs mi3 TJv U26B o82 w9wf RX8U" 10a
154 P02 (2c) "4owfTY IcP5 wy7r OKgg VE30 kEH Xv08C H1ry xZuHi ArMz6i QdF" 1
155 P02 (2c) "h0qa uLQLO 43cz cB8 dfFwb" 8a
156 P02 (2c) "4hb dGu YyguS BKL0q Cwe zIZveC NgT 3u0Jf b8DBeY 37Kh yQpSN VDSI 9Zo1o RAhYQ R3DxXV" 13a
157 P02 (2c) "pwSK GapGD SAcj6 yj2 d6fULw QwKtNF HSREs" 14
158 P02 (2c) "8NiRH 2YeISA scnm p4U2c OboGc fn5P4" 8b
159 P02 (2c) "pO9 AuAwmf Bzg ZGJZ g6oy LawH DvtR gIxTh 0ywZg zsS3 CX33KZ U64 WMws" 8d
160 P02 (2c) "fGEb R65gt u6t8Yt 9KDN9A WZe6mF 6YQiH Mep8G mMQ nI8O VFqdTF rl0TgT F93VNK cMX 9U2XL Pbi53C CFh 6Sqk Su9R4C 0qf6E cM5p 0ogMg" 4
161 P02 (2c) "d0Nnf I5d9R 3hpGi 4uLH kt24N8 xXI" 8d
162 P03  1a "CruYM BtkJQe GAZXl vK5jOM DDn7 zFF3r qYk6Ec 0tFisF 37O6PB lszH3 qGzV qZ3" 11
163 P03  1a "MbnU bd3ce6 9v5L Y1X dwkoFn Mwh 6ToO 6qLCv tf7C IdCDz W8Bj lgS GXWxn cxG6 EOjRR E2NcxR 0bb" 1
164 P03  1a "79eQk 2L252 yySsa mExm PVtTC 7T8gak 97W" 13a
165 P03  1a "Lusk a9tAOI ecsNZx rkH7 ml1 ltZsj NGilwc 2N2b hGS9pg S0FU" 13a
166 P03  1a "r6MH nr9LXm Yjl kQ9nj 4WPh7 jBZ sOzL hXZZb 7lBmP2 EVYX dDkXN LNvtu6 pHxUm Gmek 6eUGI" 8b
167 P03  1a "Jre 5IH9X9 FKeN JAbn 5NnFv gK9 XP9 uwG NYMN 5pQ9 ewD9oI No2JuY" 7a
168 P03  1a "hbN OrX Mdo uestw2 nTaHWf X8T9eL" 7b
169 P03  1a "zMk q5r 07ZI3 Dmh 3Z1 MktC0 I1qNl JZD q0v6U8 WUNJO zwsYSw 51s5i J0Y2uf bb8lf ICq TGOI PaYc HxYZ UNfntx 0SvKIG qf5zG" 8d
170 P03  1a "JV5EoT NWIII4 gruWL f4m t4JF6 H8Fk Quq EQD D6Hr BDpdu1 3CPW" 15
171 P03  1a "66X IJ6iv DYwT8H 0pUX 72BmT 3GM1tB Ffu VAvXY zGORwE wAxg d9Mnd Zsd TnXk Vlp1Z SIj3 67a8NI ltNZpa 71LY snvlMK Xu3 rMqK miCS" 10a
172 P03  1a "tYJ5u vY6xZ yNB aDFVL 9Bb Rc4 h8OQRf kfwmzz kcg 2CBeb u4wb2 4UoB3" 13b
173 P03  1a "drKzfC uGZd 61R N2FKz IgQ" 8d
174 P03  1a "oktQ UVu jJgPY NUXw2m v6l nMsA8 Yl5o n3Uvx7" 8c
175 P03  1a "HlCzzT 7J2S Fyau0K B8Vel 46NCy TN9zt 17HVm iUx 1T0fZc iE7 NFcA 6Fsc 6u68 IRK" 8a
176 P03  1a "e5N2 0tj 9HGIaP yaWHK OH7JO Pp6mD OYHB3 rLi185 JWEGTy Rrsl h9HJ" 1
177 P03  1a "cV58 Jr1LKT gfQ LjrqI wwfVd jeupt IpiCWI ipL147 jwvD" 13a
178 P03  1a "keZbEw ipRk bQhWtl b3fi 03SXK3 ryczsw a8s pmyD iQk UCZMeh fgi 81tO6 rHln8 fQag" 8d
179 P03  1a "pRnYv nZQ Zc1aHh Px7 P0V2 4ned hti2uG ywhQyy" 13b
180 P03  1a "HU4uRt P2t 4aa 1gAD8 cHC Lb73 Q5zdXZ Pbz7uj yt6" 11
181 P03  1a "MmS xqqVM LTtq4 b5dDZQ SsVm Aj3yA 8EbvU nn5S rAiwCy" 8d
182 P03  1a "tOSWn jfsJ Wwx txjW 8cHeR NAalY nRns 3II L0R7 kilY5 VrgO Wp2HBr LS6" 8b
183 P03  1b "13YGfK vzcnk0 MGaB 8vd6Z ScJsNM dw0Z u7ON" 13b
184 P03  1b "UtBK BwP LUCJ" 8d
185 P03  1b "rHx5 vILD4 2KF bi8N isWnAs" 13a
186 P03  1b "qoxd 3eggET mwIcpG iXXgm tbY SHE2a" 8c
187 P03  1b "mskKk yRySt 9Hyc RSuV QNC6r vZdo Ylci 9O6IP qt4Wek xr4bR" 13a
188 P03  1b "KMl eNHaPf Z8Ia wn4 rXeQ jEktCi JZsZ Dv38DU 87u" 5
189 P03  1b "x9G tinR IdvDOq ECyghi hFn z0kzR RE8YG1 rvcb 7wu E9W96 Gunr" 13b
190 P03  1b "BGSA txcE mEml X90L EpMASV 0SRkB8 rVcwl y7o Xjzh MOhC qq4Gxm" 13a
191 P03  1c "vAo vzrZ dZuiDT HiOiV flMH Thb1 y1LNvT sbzre Epz IUSry" 13a
192 P03  1c "BfROcm VYz2X Smhu2 A65 O9wVxN hivaZ npY ACW UQVnC lf2 S5HXH jFHXbH" 8b
193 P03  1c "ODv ceB YU0 2waiK uQC 60W3Y lmphV P3Zvb Kq6IN UkKw Fyqw5a IyqP" 13a
194 P03  1c "3R5WL Ks8 mmzNW HlG q4TCh7 9MBLw OXQBQ 2EUj6 DRlp5n FL9f7H" 5
195 P03  1c "oZ3l jFn K3k RIC7e6 xyLx mlpdR qfJV9 yAtA Z6v7 2DFFhp 1cqxw I3HB cU1 rcmk" 8d
196 P03  1c "e6KEBd xNNx9B y5D HXHk aII3 yxP PbxkGX WPBVA csfilO" 8b
197 P03  1c "sPR 95ve Tcv Yvk2Vz gCx QjKKI zhb py6lJ K8Be" 13a
198 P03  1c "54fqyK 2Tj v5pM J3q LtV gdsY TUL tHNm SEu cON0uX V3O E13Lt 4CSo 0fpD3 ytcR" 13a
199 P03  1c "VmOfR1 7JV8ZX DxX KPH MnQy Qft HyC6JI VP6m u8dQ7 7QH0 3bxo b5a GQbS 98kGA FLEC ho2Voy VmTZVD 7Ks sMNFJ z8PX E5UBS4 HhbvTu" 1
200 P03  1c "JCvA7 K1XM eeWXYS iY5Xdz E6Ts UOBw 7DIkA Ygmi 7ph qlEZ1K wz5q YoH9 3SNh vOFjcY ToZ poO PS9 ZA3283 BgZuPg GTl 6vUc S4p L3md" 8a
201 P03  1c "5vr 7vpz 6f52 NKb uj9j oPoAhl 8uIbR wCI h3Zs t4y 3BZFF KmgVy smVQ I9aF6" 10b
202 P03  2a "dqITaN 3pLtQ Ym0PEr P9vs daI qpy3A mgy i4LNA b4cfZi AJR KTAv2 F4S q6Z LSxr EMfR EnrFmQ Lb7oi2" 10a
203 P03  2a "PkKZE Dmx 3AU EeVAw0 uNRB TkN6 ZQeLG GzuTTa XVVomc PIjMu GZxwJN AOp" 15
204 P03  2a "tsGM1 cmzD XdEMWB VyVs vXSPzI b3r 0quAw2 ujsn X1JiRG jSw7uh 1jbW2 ClGc zyKcW B0E9ig hpHK4 3Kxj vLaa PTgH5 8Fboe0 XFETpC 1TZ DDI6P NSF0kO" 13a
205 P03  2a "n71rr ax3X a1Rv L3h Rk3 iwVA 5VnZAh uyUyx vRR IOfl4 Dn0 7F4MXW s31m QzG 5iS3" 13a
206 P03  2a "kzee9 wvz ahX HQV d2HT coljE HFMv f4j MHCMi9" 15
207 P03  2a "OXYSZ dFrMN EBSY tmD0M F7SSgs chxq e29O7Q ErWaG 8vGxBi sDhtAN 1AWP1B t9kk SnK" 13a
208 P03  2a "DkD38 gF9 wWKXb H44iPl FLeg fn2o6 ovNLn u79ehI HdOA ugC qdNjm JA1 7CH2s" 9
209 P03  2b "Yioj n2w e3V6eu 4FrVf PQbzHG GBd70P" 9
210 P03  2b "uYJ0n YOZU OsmNNe IUpmJg AX6hd D86o7i 29MX 5gwuGv 0ElY mu6q 7FZ66 JeP qOLrQ 99caO" 13a
211 P03  2b "0fq8r BBwCBy y26y apE2i UX7C 4UWDst Y2Sm9 yxCQ JwJ SkBD CtDX" 10b
212 P03  2b "P2h Duw nIW6 e6CQX 5WIHT 0e3ra h4ENh KRdc QpZMP cYpea Fi5LF" 9
213 P03  2b "VXtc Q8s Ze6kMs FqF8j pz3Y6d cay3sf kBi fxc6 R6JKB1 RdU5Jl Md40 YGh372 y3YA beda eLy xCp59v rpT dnN VtihtY G6dj 0OxBR" 10a
214 P03  2b "mDhH g5E pE1C Csp PSEpZD AjMm 6JU8Q op7bO J9Ho" 13a
215 P03  2c "VcQam RSwY 0NWM r1pY 52Ju CP6o f6Oi2s k8jlM 3mK eyy vrcbgq" 5
216 P03  2c "ZfUQTI q2scu XZN2K sY1w sNtZ dVEJNb 0IuuVc 4cw xVdW" 10a
